state,counties,city,price,type,beds,baths,sqfeet,latlong
ca,sacramento,sacramento,1534,apartment,1,1,751,"(38.6383, -121.507)"
ca,sacramento,fair oaks,1740,apartment,2,2,1240,"(38.5981, -121.215)"
ca,sacramento,rocklin,1853,apartment,2,1,900,"(38.7877, -121.237)"
ca,sacramento,rancho cordova,1430,apartment,2,2,880,"(38.6072, -121.276)"
ca,sacramento,west sacramento,1635,apartment,2,2,964,"(38.6053, -121.513)"
ca,sacramento,folsom,1620,apartment,1,1,829,"(38.6668, -121.152)"
ca,sacramento,sacramento,1885,apartment,1,1,765,"(38.6128, -121.505)"
ca,sacramento,woodland,1799,duplex,2,2,960,"(38.689, -121.8)"
ca,sacramento,rocklin,2272,apartment,3,2,1368,"(38.7388, -121.226)"
ca,sacramento,sacramento,1560,apartment,2,2,856,"(38.6131, -121.506)"
ca,sacramento,west sacramento,1670,apartment,1,1,786,"(38.589, -121.522)"
ca,sacramento,la riviera,1400,apartment,1,1,767,"(38.5718, -121.381)"
ca,sacramento,folsom,2425,apartment,3,2,1368,"(38.6668, -121.152)"
ca,sacramento,elk grove,2900,house,7,3,2900,"(38.4243, -121.437)"
ca,sacramento,rosemont,1418,apartment,2,2,890,"(38.5425, -121.372)"
ca,sacramento,cameron park,2950,house,3,2,1953,"(38.6848, -120.999)"
ca,sacramento,foothill farms,1295,apartment,2,1,821,"(38.6767, -121.323)"
ca,sacramento,elk grove,1396,apartment,1,1,681,"(38.428, -121.418)"
ca,sacramento,rancho cordova,1700,apartment,1,1,821,"(38.5864, -121.283)"
ca,sacramento,folsom,2505,apartment,2,2,1160,"(38.6482, -121.125)"
ca,sacramento,sacramento,1720,apartment,3,2,1290,"(38.6108, -121.496)"
ca,sacramento,folsom,1792,apartment,2,2,1077,"(38.6458, -121.126)"
ca,sacramento,carmichael,1475,apartment,2,5,916,"(38.6269, -121.328)"
ca,sacramento,san rafael,2735,apartment,2,1,950,"(38.012, -122.536)"
ca,sacramento,rancho cordova,1455,apartment,2,2,880,"(38.6072, -121.276)"
ca,sacramento,florin,1356,apartment,2,2,801,"(38.4743, -121.441)"
ca,sacramento,folsom,2350,apartment,2,2,1122,"(38.6709, -121.153)"
ca,sacramento,west sacramento,1838,apartment,2,1,980,"(38.4875, -121.517)"
ca,sacramento,davis,1525,apartment,1,1,600,"(38.5622, -121.761)"
ca,sacramento,rancho cordova,1640,apartment,2,1,932,"(38.5774, -121.304)"
ca,sacramento,folsom,1835,apartment,2,1,1035,"(38.6709, -121.153)"
ca,sacramento,roseville,1900,apartment,3,2,1250,"(38.7724, -121.263)"
ca,sacramento,roseville,1900,apartment,3,2,1200,"(38.7724, -121.263)"
ca,sacramento,north highlands,2025,apartment,3,1.5,1190,"(38.7159, -121.365)"
ca,sacramento,rio linda,1440,apartment,1,1,850,"(38.656, -121.512)"
ca,sacramento,roseville,1900,apartment,3,2,1200,"(38.7724, -121.263)"
ca,sacramento,north highlands,1700,apartment,2,0,978,"(38.7159, -121.365)"
ca,sacramento,rosemont,1399,apartment,1,1,605,"(38.5746, -121.412)"
ca,sacramento,west sacramento,1710,apartment,2,2,1035,"(38.6053, -121.513)"
ca,sacramento,roseville,1900,apartment,3,2,1200,"(38.7724, -121.263)"
ca,sacramento,sacramento,2040,apartment,2,2,1129,"(38.6383, -121.507)"
